Information,Category: Paragraph – Page Heading,"Link: Provided, Source"
The CS Placement Exam opens on May 5th! It will close on December 31st. Visit our FAQ webpage for more information.,Advising Announcements – Advising,"https://cs.ucdavis.edu/undergraduate/current-majors/frequently-asked-questions, https://cs.ucdavis.edu/advising"
The Winter 2024 and Spring 2024 tentative course offerings are now viewable!,Advising Announcements – Advising,"https://cs.ucdavis.edu/course-schedule, https://cs.ucdavis.edu/advising"
Need help in your ECS courses? Check out CS Tutoring (peer-run service) at UC Davis!,Advising Announcements – Advising,"https://sites.google.com/view/cs-tutoring-ucd/, https://cs.ucdavis.edu/advising"
Need a place to study on campus? Take a look at some of the study spaces available on the Student Affairs website.,Advising Announcements – Advising,https://studentaffairs.ucdavis.edu/getting-help/academics/study-materials
Student Computer Recommendations,Advising Announcements – Advising,"https://engineering.ucdavis.edu/undergraduates/academic-advising/student-computer-recommendations, https://cs.ucdavis.edu/advising"
UC Davis Student Resources – FAQ’s,Advising Announcements – Advising,"https://ebeler.faculty.ucdavis.edu/resources/faq-student-resources/, https://cs.ucdavis.edu/advising"
The Computer Science (CS) Undergraduate Advising team provides major academic advising to currently matriculated UCD undergraduate students in Computer Science (CS) and Computer Science & Engineering (CSE).,Who We Are (P1) – Advising,https://cs.ucdavis.edu/advising
CS Undergraduate Advisors partner with CS and CSE students to provide assistance on their academic journey. Our goal is to teach our students how to understand their academic requirements and navigate the university resources available to help them along the way. ,Who We Are (P2) – Advising,https://cs.ucdavis.edu/advising
Advising is a collaborative process that will require each student to play an active role.,Who We Are (P2) – Advising,https://cs.ucdavis.edu/advising
"Appointments are available to students declared in the CS and CSE majors only. If you are interested in changing majors, please visit our Change of Major webpage.",Services→ Appointments – Advising,"https://cs.ucdavis.edu/undergraduate/non-majors/changing-majors-double-majors, https://cs.ucdavis.edu/advising"
"If you are a CS/CSE major, visit our Appointments webpage.",Services→ Appointments – Advising,"https://cs.ucdavis.edu/cs-advising-appointments, https://cs.ucdavis.edu/advising"
Drop-in hours are for declared CS and CSE majors only. ,Services → Drop-in Hours (Via Zoom) – Advising,https://cs.ucdavis.edu/advising
"If you are interested in changing to one of our majors, please attend a Change of Major Info Session. You can view the upcoming dates and register on our Changing Majors webpage.",Services → Drop-in Hours (Via Zoom) – Advising,"https://cs.ucdavis.edu/undergraduate/non-majors/changing-majors-double-majors, https://cs.ucdavis.edu/advising"
"Drop-in hours are 10-15 minute sessions for quick questions, for example, Spring 2023 graduation checks or schedules checks.",Services → Drop-in Hours (Via Zoom) – Advising,https://cs.ucdavis.edu/advising
"To see a CS advisor during drop-ins, please join our Virtual Front Desk during our available drop-in hours.",Services → Drop-in Hours (Via Zoom) – Advising,"https://cs.advisingfrontdesk.lsit.ucdavis.edu/signin, https://cs.ucdavis.edu/advising"
Questions about GE and university requirements should be directed to your College Dean’s Office Advisors.  CSE majors: EUO Express Advising | CS majors: LSUEA Virtual Front Desk ,Services → Drop-in Hours (Via Zoom) – Advising,https://cs.ucdavis.edu/advising
"Students interested in changing majors into CS/CSE or adding a double major in CS must attend a virtual advising session with the CS Advising Team. The advising sessions will cover the requirements to be eligible to change majors/double major and minor, frequently asked questions, and will provide time for students to ask questions to the advisors. Advising sessions are open to current UC Davis students only. You must be logged in to your UC Davis Zoom account to register.",Change of Major Advising Sessions – Advising,https://cs.ucdavis.edu/advising
"For more information on requirements to change to CS or CSE, please review our Change of Major webpage.",Change of Major Advising Sessions – Advising,"https://cs.ucdavis.edu/undergraduate/non-majors/changing-majors-double-majors, https://cs.ucdavis.edu/advising"
Computer Science & Engineering (CSE) Checklist (PDF),Student Advising Resource – Advising,https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/media/documents/22-23%20CSE%20Checklist%20fillable.pdf
CSE Sample Schedule (Excel - customizable),Student Advising Resource – Advising,"https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/media/documents/CSE%20Sample%20Schedule.xlsx, https://cs.ucdavis.edu/advising"
CSE Sample Schedule (PDF),Student Advising Resource – Advising,"https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/media/documents/CSE%20Sample%20Schedule.pdf, https://cs.ucdavis.edu/advising"
CSE Major Map (PDF),Student Advising Resource – Advising,https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/inline-files/BS-Computer%20Science%20%26%20Engineering_0.pdf
Computer Science (CS) Checklist (PDF),Student Advising Resource – Advising,"https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/media/documents/22-23%20CS%20Checklist%20fillable.pdf, https://cs.ucdavis.edu/advising"
CS Sample Schedule (Excel - customizable),Student Advising Resource – Advising,"https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/media/documents/CS%20Sample%20Schedule.xlsx, https://cs.ucdavis.edu/advising"
CS Sample Schedule (PDF),Student Advising Resource – Advising,"https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/media/documents/CS%20Sample%20Schedule.pdf, https://cs.ucdavis.edu/advising"
CS Major Map (PDF),Student Advising Resource – Advising,"https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/inline-files/BS-Computer%20Science_0.pdf, https://cs.ucdavis.edu/advising"
Computational Biology Minor (PDF),Student Advising Resource – Advising,"https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/media/documents/CB%20Minor%20Checklist%2022-23.pdf, https://cs.ucdavis.edu/advising"
Computer Science Minor (PDF),Student Advising Resource – Advising,"https://cs.ucdavis.edu/sites/g/files/dgvnsk8441/files/media/documents/CS%20Minor%20Checklist%2022-23.pdf, https://cs.ucdavis.edu/advising"
Jason Sison – Undergraduate Academic Advisor,CS Advising Team - Advising,https://cs.ucdavis.edu/directory/jason-sison
Andrea Abrahamson – Undergraduate Academic Advisor,CS Advising Team - Advising,https://cs.ucdavis.edu/directory/andrea-abrahamson
Kari Gage – Undergraduate Program Manager,CS Advising Team - Advising,https://cs.ucdavis.edu/directory/kari-gage
